Sensor Simulator starting (ID: 2, Server: 127.0.0.1:1245, Interval: 30 sec)
Connecting to server...
Connected to server at 127.0.0.1:1245 as sensor node 2
Sending authentication: AUTH sensor_user password123
Sending data: DATA 2 22.76 56.10 1007.80 1745111388
Next transmission at 08:10:18 (30 seconds from now)
Sending data: DATA 2 23.56 49.31 1008.85 1745111418
Next transmission at 08:10:48 (30 seconds from now)
Sending data: DATA 2 19.06 49.07 1022.16 1745111448
Next transmission at 08:11:18 (30 seconds from now)
Sending data: DATA 2 25.40 53.71 1020.05 1745111478
Next transmission at 08:11:48 (30 seconds from now)
Sending data: DATA 2 20.65 55.21 1003.66 1745111508
Next transmission at 08:12:18 (30 seconds from now)
Sending data: DATA 2 18.63 56.09 1022.84 1745111538
Next transmission at 08:12:48 (30 seconds from now)
Sending data: DATA 2 21.51 59.98 1021.54 1745111568
Next transmission at 08:13:18 (30 seconds from now)
Sending data: DATA 2 24.50 41.79 1020.33 1745111598
Next transmission at 08:13:48 (30 seconds from now)
Sending data: DATA 2 22.18 42.75 1015.62 1745111628
Next transmission at 08:14:18 (30 seconds from now)
Sending data: DATA 2 19.97 52.37 1010.40 1745111658
Next transmission at 08:14:48 (30 seconds from now)
Sending data: DATA 2 25.70 43.88 1006.50 1745111688
Next transmission at 08:15:18 (30 seconds from now)
Sending data: DATA 2 18.10 57.00 1015.81 1745111718
Next transmission at 08:15:48 (30 seconds from now)
Sending data: DATA 2 21.03 41.11 1004.88 1745111748
Next transmission at 08:16:18 (30 seconds from now)
Sending data: DATA 2 20.61 57.91 1018.59 1745111778
Next transmission at 08:16:48 (30 seconds from now)
Sending data: DATA 2 19.13 45.22 1013.80 1745111808
Next transmission at 08:17:18 (30 seconds from now)
Sending data: DATA 2 19.46 48.48 1009.89 1745111838
Next transmission at 08:17:48 (30 seconds from now)
Sending data: DATA 2 19.38 57.51 1009.86 1745111868
Next transmission at 08:18:18 (30 seconds from now)
Sending data: DATA 2 18.65 52.52 1011.66 1745111898
Next transmission at 08:18:48 (30 seconds from now)
Sending data: DATA 2 17.32 42.88 1014.40 1745111928
Next transmission at 08:19:18 (30 seconds from now)
Sending data: DATA 2 23.63 48.83 1006.77 1745111958
Next transmission at 08:19:48 (30 seconds from now)
Sending data: DATA 2 17.33 46.23 1010.65 1745111988
Next transmission at 08:20:18 (30 seconds from now)
Sending data: DATA 2 19.08 48.44 1007.65 1745112018
Next transmission at 08:20:48 (30 seconds from now)
Sending data: DATA 2 25.49 56.49 1008.76 1745112048
